model,mode,input_h,input_w,latency_ms,fps,mem_MB,mem_peak_MB,mem_reserved_MB
YOLOv11,P,1280,1280,19.74,50.65,147.84,498.84,766.00
D-FINE,P,1280,1280,22.23,44.98,284.54,722.78,950.00
cascade_rcnn,P,1280,1280,39.81,25.12,439.00,959.48,1208.00
CODETR,P,1280,1280,277.63,3.60,278.52,2427.23,3216.00
DETR,P,1280,1280,25.17,39.72,330.46,655.45,1262.00
DINO,P,1280,1280,79.11,12.64,354.39,824.88,1192.00
RetinaNet,P,1280,1280,28.38,35.24,316.37,635.52,850.00
RTDETR,P,1280,1280,30.67,32.61,334.78,659.75,832.00
RTMDet,P,1280,1280,15.73,63.56,146.99,411.59,582.00

