epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,349.596,0.90281,0.91853,1.38776,0.8801,0.79831,0.8967,0.68197,0.87858,0.69352,1.3417,0.00333042,0.00333042,0.00333042
2,701.913,0.94749,0.75279,1.41158,0.85836,0.75872,0.86872,0.61996,1.04057,0.85517,1.45823,0.00660878,0.00660878,0.00660878
3,1042.6,1.08102,0.89445,1.53216,0.77402,0.62069,0.7282,0.39309,1.63675,1.26027,2.01395,0.00983214,0.00983214,0.00983214
4,1368.19,1.14973,0.96175,1.59425,0.85816,0.74218,0.84232,0.57267,1.14572,0.93477,1.53355,0.0097525,0.0097525,0.0097525
5,1696.56,1.02576,0.81663,1.47761,0.8517,0.75225,0.86388,0.59715,1.11684,0.82308,1.51426,0.00967,0.00967,0.00967
6,2035.13,0.95545,0.74189,1.40647,0.84789,0.80584,0.88313,0.64952,0.96555,0.71698,1.3614,0.0095875,0.0095875,0.0095875
7,2382.43,0.89199,0.67715,1.34497,0.86524,0.79707,0.88786,0.66714,0.92721,0.70459,1.33159,0.009505,0.009505,0.009505
8,2736.96,0.84939,0.6252,1.30202,0.88783,0.8062,0.90229,0.68459,0.89537,0.65084,1.2987,0.0094225,0.0094225,0.0094225
9,3076.05,0.79971,0.58401,1.24994,0.88438,0.82371,0.90988,0.70727,0.84815,0.63459,1.25344,0.00934,0.00934,0.00934
10,3399.44,0.7815,0.55325,1.22593,0.88992,0.81054,0.90022,0.69211,0.87779,0.65072,1.2722,0.0092575,0.0092575,0.0092575
11,3724.57,0.74679,0.5241,1.19583,0.8893,0.82865,0.9142,0.70575,0.85285,0.61463,1.25536,0.009175,0.009175,0.009175
12,4047.89,0.7152,0.49551,1.16173,0.86879,0.85358,0.92133,0.72492,0.81638,0.57064,1.21785,0.0090925,0.0090925,0.0090925
13,4369.71,0.68932,0.47426,1.13753,0.88396,0.84138,0.91806,0.71862,0.83173,0.57638,1.23633,0.00901,0.00901,0.00901
14,4690.29,0.67328,0.45367,1.1212,0.90593,0.82812,0.92014,0.73118,0.80657,0.56161,1.2224,0.0089275,0.0089275,0.0089275
15,5015.26,0.64767,0.43429,1.09239,0.89738,0.84244,0.92388,0.74406,0.77382,0.54086,1.18333,0.008845,0.008845,0.008845
16,5338.36,0.63557,0.41716,1.08303,0.91469,0.84755,0.93076,0.74934,0.77538,0.52795,1.1976,0.0087625,0.0087625,0.0087625
17,5676.66,0.61997,0.4036,1.06681,0.89587,0.84297,0.91747,0.74816,0.75497,0.54556,1.17272,0.00868,0.00868,0.00868
18,6014.4,0.59383,0.38484,1.04213,0.89968,0.8564,0.92778,0.75388,0.762,0.52128,1.19028,0.0085975,0.0085975,0.0085975
19,6341.94,0.56931,0.36827,1.01944,0.89901,0.84828,0.92897,0.76116,0.73886,0.50911,1.1674,0.008515,0.008515,0.008515
20,6667.86,0.56765,0.3584,1.018,0.90306,0.84934,0.9302,0.76799,0.75375,0.50241,1.18542,0.0084325,0.0084325,0.0084325
21,6991.77,0.55804,0.35434,1.00748,0.91964,0.85358,0.93507,0.76929,0.73477,0.49848,1.17172,0.00835,0.00835,0.00835
22,7316.35,0.53754,0.33822,0.99071,0.91578,0.84509,0.92573,0.75063,0.77014,0.52911,1.20039,0.0082675,0.0082675,0.0082675
23,7645.17,0.54063,0.33633,0.99252,0.89951,0.87321,0.9334,0.77425,0.72989,0.51381,1.17331,0.008185,0.008185,0.008185
24,7981.19,0.52341,0.32587,0.97938,0.91304,0.86333,0.93251,0.76514,0.73856,0.49879,1.16636,0.0081025,0.0081025,0.0081025
25,8313.05,0.51468,0.318,0.96983,0.90658,0.85978,0.93272,0.7712,0.72536,0.4965,1.16575,0.00802,0.00802,0.00802
26,8658.08,0.50206,0.3108,0.95814,0.9182,0.8516,0.93217,0.77451,0.71757,0.49932,1.17296,0.0079375,0.0079375,0.0079375
27,9003.69,0.49509,0.30298,0.95213,0.89476,0.87049,0.9311,0.77808,0.70952,0.49537,1.16862,0.007855,0.007855,0.007855
28,9331.13,0.48066,0.29426,0.9406,0.87969,0.88827,0.92837,0.77656,0.71155,0.48551,1.16549,0.0077725,0.0077725,0.0077725
29,9655.15,0.48136,0.29048,0.9388,0.9125,0.86419,0.93267,0.78722,0.70634,0.48079,1.16635,0.00769,0.00769,0.00769
30,9988.61,0.46912,0.28204,0.92942,0.90113,0.8817,0.93807,0.78689,0.70289,0.46762,1.16689,0.0076075,0.0076075,0.0076075
31,10323.9,0.46482,0.28076,0.92552,0.90014,0.88276,0.93217,0.78345,0.70291,0.48787,1.16763,0.007525,0.007525,0.007525
32,10649.5,0.46182,0.27695,0.92397,0.9096,0.86472,0.93095,0.77967,0.70028,0.47697,1.16807,0.0074425,0.0074425,0.0074425
33,10972.2,0.45035,0.27217,0.91281,0.91298,0.86897,0.92984,0.78808,0.69451,0.47851,1.15308,0.00736,0.00736,0.00736
34,11296.9,0.45193,0.26919,0.91256,0.91904,0.86114,0.93363,0.7943,0.69031,0.47733,1.1676,0.0072775,0.0072775,0.0072775
35,11617.8,0.44009,0.2635,0.90949,0.92384,0.86872,0.93418,0.7934,0.69907,0.46716,1.17763,0.007195,0.007195,0.007195
36,11941.4,0.42702,0.25831,0.89484,0.92193,0.85729,0.93034,0.79273,0.67876,0.47706,1.15321,0.0071125,0.0071125,0.0071125
37,12262.9,0.4277,0.25419,0.8987,0.9122,0.87638,0.93048,0.78841,0.69287,0.48664,1.1647,0.00703,0.00703,0.00703
38,12591,0.42437,0.25444,0.89022,0.90277,0.8718,0.93205,0.79416,0.68729,0.47481,1.18454,0.0069475,0.0069475,0.0069475
39,12930.1,0.41495,0.24734,0.8854,0.92336,0.8628,0.93202,0.79479,0.67992,0.46076,1.16357,0.006865,0.006865,0.006865
40,13260.7,0.4192,0.2488,0.88699,0.91396,0.87586,0.93564,0.79624,0.68552,0.45891,1.16889,0.0067825,0.0067825,0.0067825
41,13599.2,0.41773,0.24669,0.88506,0.90111,0.87985,0.93211,0.79483,0.68791,0.46383,1.18136,0.0067,0.0067,0.0067
42,13940.3,0.40066,0.23865,0.87584,0.92205,0.88478,0.93825,0.79832,0.67651,0.44976,1.1684,0.0066175,0.0066175,0.0066175
43,14262.2,0.40425,0.23951,0.87826,0.91968,0.87215,0.93379,0.79798,0.67482,0.45839,1.17512,0.006535,0.006535,0.006535
44,14592.1,0.38855,0.23333,0.86627,0.91744,0.87245,0.9358,0.7981,0.67438,0.4692,1.17849,0.0064525,0.0064525,0.0064525
45,14915.3,0.39202,0.2326,0.86964,0.91827,0.87027,0.93132,0.79946,0.67728,0.47095,1.17513,0.00637,0.00637,0.00637
46,15247.4,0.38646,0.22948,0.86359,0.92123,0.86864,0.93044,0.7963,0.6677,0.46168,1.16511,0.0062875,0.0062875,0.0062875
47,15581.6,0.38553,0.22859,0.8625,0.91504,0.87423,0.93204,0.80067,0.66546,0.46052,1.15823,0.006205,0.006205,0.006205
48,15907.6,0.37719,0.22528,0.85904,0.92745,0.87482,0.93391,0.80097,0.67206,0.45413,1.17703,0.0061225,0.0061225,0.0061225
49,16231.5,0.37384,0.22135,0.85651,0.91611,0.87798,0.9307,0.80169,0.66374,0.45128,1.17256,0.00604,0.00604,0.00604
50,16558,0.3667,0.21828,0.84862,0.92374,0.88011,0.93291,0.80582,0.65927,0.45521,1.15423,0.0059575,0.0059575,0.0059575
51,16887.2,0.37247,0.22096,0.85437,0.9193,0.87056,0.93077,0.80359,0.65729,0.46293,1.16028,0.005875,0.005875,0.005875
52,17219.5,0.36898,0.21626,0.85105,0.90604,0.88223,0.93457,0.80443,0.66149,0.46004,1.16777,0.0057925,0.0057925,0.0057925
53,17550.3,inf,0.21565,0.85143,0.90924,0.88223,0.93413,0.80681,0.65985,0.45313,1.1772,0.00571,0.00571,0.00571
54,17878.8,0.3612,0.21324,0.84618,0.90816,0.88133,0.93196,0.80496,0.65292,0.44268,1.15889,0.0056275,0.0056275,0.0056275
55,18207.6,0.35562,0.20904,0.84171,0.91097,0.87639,0.93038,0.80407,0.64885,0.46292,1.15229,0.005545,0.005545,0.005545
56,18534.1,0.36468,0.21287,0.84805,0.923,0.87003,0.93142,0.80401,0.64935,0.45427,1.15431,0.0054625,0.0054625,0.0054625
57,18862.1,0.33988,0.20466,0.83113,0.92013,0.87056,0.93103,0.80474,0.65251,0.45997,1.17116,0.00538,0.00538,0.00538
58,19191.3,0.34776,0.20443,0.83551,0.92229,0.86891,0.93138,0.80896,0.64615,0.44967,1.16012,0.0052975,0.0052975,0.0052975
