epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,344.036,0.7598,0.85414,1.24726,0.90093,0.8042,0.90637,0.70017,0.90155,0.74576,1.28353,0.00333042,0.00333042,0.00333042
2,679.47,0.79727,0.67667,1.25523,0.84579,0.79628,0.88044,0.64707,0.9912,0.80768,1.37134,0.00659779,0.00659779,0.00659779
3,1013.04,0.9149,0.79213,1.36608,0.79418,0.75124,0.81968,0.55118,1.12265,0.97626,1.53915,0.00979915,0.00979915,0.00979915
4,1342.93,0.95855,0.83364,1.40216,0.81566,0.73504,0.81009,0.56519,1.10723,0.96997,1.49884,0.009703,0.009703,0.009703
5,1673.25,0.84511,0.6969,1.29888,0.85352,0.78974,0.86803,0.62835,1.00192,0.78421,1.38639,0.009604,0.009604,0.009604
6,2017.96,0.75776,0.60225,1.20904,0.86599,0.82521,0.90022,0.67638,0.91117,0.67589,1.28517,0.009505,0.009505,0.009505
7,2373.84,0.67879,0.52674,1.1345,0.90234,0.74448,0.86136,0.66762,0.8726,0.79613,1.25034,0.009406,0.009406,0.009406
8,2728.83,0.61981,0.46852,1.0778,0.88767,0.81637,0.90978,0.7083,0.86601,0.63757,1.23104,0.009307,0.009307,0.009307
9,3088.13,0.56903,0.42681,1.0301,0.90169,0.82603,0.91378,0.71858,0.84578,0.61149,1.2304,0.009208,0.009208,0.009208
10,3445.38,0.53315,0.38712,0.99567,0.89838,0.84752,0.91544,0.72738,0.83558,0.59429,1.22207,0.009109,0.009109,0.009109
11,3803.3,0.49477,0.35843,0.95883,0.91018,0.83325,0.91423,0.73115,0.8087,0.59777,1.19893,0.00901,0.00901,0.00901
12,4159.91,0.46507,0.33323,0.93281,0.89922,0.8333,0.90899,0.73033,0.80617,0.60889,1.19661,0.008911,0.008911,0.008911
13,4517.79,0.43909,0.31356,0.91113,0.89869,0.83576,0.91835,0.73862,0.82226,0.58739,1.22534,0.008812,0.008812,0.008812
14,4874.97,0.41532,0.29341,0.89232,0.89801,0.8376,0.91477,0.74111,0.8143,0.5767,1.23085,0.008713,0.008713,0.008713
15,5230.81,0.40026,0.28319,0.87773,0.89966,0.84478,0.91855,0.75456,0.79133,0.58363,1.1992,0.008614,0.008614,0.008614
16,5589.08,0.3818,0.2693,0.86322,0.89088,0.84008,0.91232,0.74843,0.79456,0.5962,1.22043,0.008515,0.008515,0.008515
17,5945.88,0.36597,0.26022,0.85199,0.91522,0.81191,0.91035,0.74696,0.77915,0.59298,1.19776,0.008416,0.008416,0.008416
18,6304.02,0.35215,0.24938,0.84021,0.90426,0.82347,0.9119,0.74769,0.80877,0.62119,1.2374,0.008317,0.008317,0.008317
19,6648.66,0.33929,0.24022,0.83434,0.89892,0.83786,0.91495,0.75204,0.77924,0.59036,1.22169,0.008218,0.008218,0.008218
20,6978.06,0.32781,0.23063,0.82544,0.90736,0.83781,0.91269,0.7576,0.77344,0.5908,1.20115,0.008119,0.008119,0.008119
21,7324.3,0.31872,0.22699,0.81922,0.90076,0.85248,0.92048,0.76453,0.77038,0.56536,1.20918,0.00802,0.00802,0.00802
22,7677.32,0.31171,0.2232,0.81336,0.89051,0.84361,0.91187,0.75399,0.78039,0.59141,1.2201,0.007921,0.007921,0.007921
23,8015.38,0.30836,0.21858,0.8118,0.89365,0.84835,0.9111,0.76046,0.76048,0.58403,1.1907,0.007822,0.007822,0.007822
24,8352.19,0.29632,0.21028,0.80297,0.90395,0.83612,0.91009,0.75697,0.75562,0.56031,1.20484,0.007723,0.007723,0.007723
25,8718.62,0.28675,0.20258,0.7968,0.92417,0.82355,0.91407,0.76564,0.75015,0.56847,1.19116,0.007624,0.007624,0.007624
26,9084.92,0.28072,0.19952,0.79463,0.90645,0.83284,0.91012,0.76178,0.7504,0.58778,1.19839,0.007525,0.007525,0.007525
27,9465.55,0.28026,0.19919,0.79457,0.90948,0.8314,0.91206,0.76394,0.75241,0.56596,1.22236,0.007426,0.007426,0.007426
28,9853.04,0.27425,0.19654,0.79053,0.91562,0.83402,0.91559,0.7696,0.75226,0.56195,1.21089,0.007327,0.007327,0.007327
29,10239.4,0.26626,0.19109,0.78539,0.9031,0.83952,0.91093,0.7602,0.75187,0.55999,1.21146,0.007228,0.007228,0.007228
30,10619.7,0.26158,0.18711,0.78275,0.91712,0.82306,0.91331,0.76539,0.75642,0.58215,1.23368,0.007129,0.007129,0.007129
31,10951,0.26109,0.18574,0.7832,0.90264,0.83135,0.90891,0.76308,0.75353,0.54968,1.23152,0.00703,0.00703,0.00703
32,11281.2,0.25846,0.18528,0.77966,0.91811,0.81405,0.90956,0.765,0.75241,0.57617,1.21994,0.006931,0.006931,0.006931
33,11613,0.24943,0.17888,0.77804,0.90188,0.83306,0.90986,0.76382,0.74351,0.55878,1.20672,0.006832,0.006832,0.006832
34,11948.2,0.24975,0.17993,0.77765,0.89993,0.84339,0.90918,0.76578,0.73592,0.56371,1.20215,0.006733,0.006733,0.006733
35,12281.8,0.24574,0.17521,0.77654,0.89524,0.8475,0.91587,0.77125,0.73033,0.55097,1.18238,0.006634,0.006634,0.006634
36,12631.7,0.23964,0.1712,0.77149,0.91584,0.83347,0.91586,0.77252,0.74144,0.54244,1.21047,0.006535,0.006535,0.006535
37,12990.9,0.23507,0.16842,0.77131,0.90897,0.81818,0.90509,0.76915,0.72518,0.55078,1.2058,0.006436,0.006436,0.006436
38,13346.2,0.23001,0.16553,0.77001,0.91734,0.82541,0.90769,0.76808,0.73251,0.53662,1.20685,0.006337,0.006337,0.006337
39,13691.8,0.22802,0.16466,0.76765,0.89129,0.84339,0.91009,0.77592,0.70585,0.5435,1.17267,0.006238,0.006238,0.006238
40,14049.8,0.22757,0.16355,0.7668,0.89384,0.84194,0.90676,0.76775,0.73771,0.54008,1.22193,0.006139,0.006139,0.006139
41,14416.1,0.22385,0.15947,0.7662,0.9025,0.84008,0.9106,0.77376,0.72312,0.52876,1.19756,0.00604,0.00604,0.00604
42,14780.8,0.21833,0.15781,0.76491,0.90251,0.83926,0.90918,0.76836,0.73642,0.54033,1.22445,0.005941,0.005941,0.005941
43,15138.7,0.21962,0.15889,0.76591,0.90107,0.83934,0.90991,0.77371,0.72468,0.52687,1.18722,0.005842,0.005842,0.005842
44,15511.4,0.21584,0.15512,0.76524,0.89418,0.84959,0.91053,0.77325,0.72052,0.52339,1.19143,0.005743,0.005743,0.005743
45,15885.3,0.2108,0.15227,0.76181,0.91019,0.83306,0.91044,0.77632,0.70856,0.521,1.18279,0.005644,0.005644,0.005644
46,16243.4,0.20886,0.15009,0.76053,0.90565,0.83471,0.90657,0.77445,0.71144,0.53097,1.1835,0.005545,0.005545,0.005545
47,16585.2,0.20727,0.14791,0.75881,0.91785,0.8219,0.9081,0.7753,0.71041,0.52483,1.1913,0.005446,0.005446,0.005446
48,16937.9,0.20514,0.14857,0.75977,0.89778,0.84421,0.91061,0.77706,0.72373,0.53452,1.22032,0.005347,0.005347,0.005347
49,17308.5,0.20153,0.14388,0.75852,0.8996,0.84047,0.90921,0.77582,0.7211,0.52331,1.21623,0.005248,0.005248,0.005248
50,17670.6,0.20266,0.14455,0.75697,0.9163,0.82782,0.91073,0.77677,0.71547,0.52735,1.22104,0.005149,0.005149,0.005149
51,18031.3,0.19861,0.14272,0.75583,0.8979,0.84008,0.91216,0.77696,0.71484,0.52987,1.21655,0.00505,0.00505,0.00505
52,18394.8,0.1989,0.1422,0.75552,0.89655,0.83843,0.90914,0.7721,0.72221,0.51331,1.23395,0.004951,0.004951,0.004951
53,18754.7,0.19749,0.14117,0.75519,0.90365,0.83512,0.90774,0.77416,0.71879,0.51424,1.2284,0.004852,0.004852,0.004852
54,19117.9,0.19385,0.13876,0.7549,0.91094,0.82842,0.90978,0.77503,0.71703,0.53033,1.21815,0.004753,0.004753,0.004753
55,19479.7,0.19023,0.13699,0.75313,0.89343,0.83486,0.90743,0.77505,0.70904,0.53576,1.20778,0.004654,0.004654,0.004654
56,19837.2,0.18991,0.1354,0.75118,0.89677,0.8376,0.90551,0.77452,0.71467,0.53724,1.21676,0.004555,0.004555,0.004555
57,20199,0.18615,0.1324,0.75244,0.91144,0.82934,0.90723,0.77538,0.7054,0.51332,1.20657,0.004456,0.004456,0.004456
58,20558.7,0.18645,0.13274,0.75247,0.89867,0.83554,0.90815,0.78009,0.69881,0.50646,1.20576,0.004357,0.004357,0.004357
59,20921,0.18499,0.13163,0.75115,0.89919,0.82893,0.9054,0.77673,0.69746,0.51836,1.19431,0.004258,0.004258,0.004258
60,21280.1,0.1813,0.13088,0.75098,0.9005,0.82645,0.90147,0.77258,0.69921,0.51744,1.20242,0.004159,0.004159,0.004159
61,21640.6,0.17915,0.129,0.75048,0.90484,0.83298,0.90453,0.77516,0.70607,0.50193,1.22034,0.00406,0.00406,0.00406
62,22000.8,0.17861,0.12749,0.7493,0.91178,0.83306,0.90698,0.7772,0.70033,0.49174,1.21533,0.003961,0.003961,0.003961
63,22359.7,0.17632,0.12514,0.74924,0.90331,0.83767,0.90879,0.77819,0.69499,0.49413,1.20092,0.003862,0.003862,0.003862
64,22715.3,0.17319,0.12275,0.74771,0.90439,0.82864,0.90761,0.77682,0.68834,0.5065,1.19926,0.003763,0.003763,0.003763
65,23084.9,0.17203,0.12229,0.74753,0.90404,0.83099,0.90544,0.77751,0.68913,0.4932,1.19998,0.003664,0.003664,0.003664
66,23452.8,0.16809,0.11818,0.74675,0.90769,0.8289,0.90553,0.77845,0.69324,0.49731,1.20847,0.003565,0.003565,0.003565
67,23813.7,0.16787,0.1188,0.74525,0.91162,0.82107,0.90368,0.77631,0.69185,0.50648,1.20469,0.003466,0.003466,0.003466
68,24172,0.16503,0.11687,0.74613,0.9082,0.82584,0.90588,0.77656,0.69084,0.50437,1.20873,0.003367,0.003367,0.003367
69,24531.8,0.16279,0.11531,0.74554,0.90119,0.82913,0.90476,0.77363,0.6944,0.50343,1.21874,0.003268,0.003268,0.003268
70,24896.2,0.16161,0.11448,0.74477,0.90074,0.82872,0.90202,0.77361,0.69533,0.50562,1.22101,0.003169,0.003169,0.003169
71,25257.6,0.15933,0.11304,0.74368,0.89934,0.82645,0.90297,0.77502,0.69478,0.50761,1.21771,0.00307,0.00307,0.00307
72,25614.4,0.15868,0.11065,0.74316,0.90168,0.82995,0.90515,0.7772,0.69229,0.49384,1.21772,0.002971,0.002971,0.002971
73,25972.5,0.15614,0.10952,0.74302,0.90581,0.83051,0.90498,0.77763,0.69266,0.50248,1.22107,0.002872,0.002872,0.002872
74,26327.6,0.15614,0.10863,0.7417,0.90481,0.82879,0.90449,0.77723,0.6898,0.5032,1.22394,0.002773,0.002773,0.002773
75,26678.4,0.15175,0.10604,0.74286,0.90827,0.82654,0.90458,0.7775,0.68349,0.50435,1.2199,0.002674,0.002674,0.002674
